ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075848978::Type  [read only],1075849017::Attribute,1075849062::Null Option,1075849148::Comments,1075849176::Physical Name,1075849201::Logical Data Type
"1075838981::174","hire date",Column,"Employee’s date of hire at the video store","hire date","Non Primary Key","","Null","Employee’s date of hire at the video store","hire_date","DATE"
"1075838981::175","salary",Column,"Annual salary paid to the employee","salary","Non Primary Key","","Null","Annual salary paid to the employee","salary","INTEGER"
"1075838981::176","email",Column,"email","email","Non Primary Key","","Null","email","email","VARCHAR(20)"
"1075838981::177","employee number",Column,"A unique number that identifies the store in which the employee works","employee number","Primary Key","","Not Null","A unique number that identifies the store in which the employee works","employee_number","VARCHAR(20)"
"1075838981::179","description",Column,"A brief description of the movie’s plot or story line","description","Non Primary Key","","Null","A brief description of the movie’s plot or story line","description","VARCHAR(20)"
"1075838981::180","star 1 name",Column,"Last name of the leading star of the movie","star 1 name","Non Primary Key","","Null","Last name of the leading star of the movie","star_1_name","VARCHAR(20)"
"1075838981::181","rating",Column,"Rating associated with the movie","rating","Non Primary Key","","Null","Rating associated with the movie","rating","VARCHAR(20)"
"1075838981::182","star 2 name",Column,"Last name of the second leading star of the movie","star 2 name","Non Primary Key","","Null","Last name of the second leading star of the movie","star_2_name","VARCHAR(20)"
"1075838981::183","MovieID",Column,"A unique number that identifies a movie","MovieID","Primary Key","","Not Null","A unique number that identifies a movie","MovieID","INTEGER"
"1075838981::185","genre",Column,"The genre associated with the movie","genre","Non Primary Key","","Null","The genre associated with the movie","genre","VARCHAR(20)"
"1075838981::186","rental rate",Column,"Amount charged for the rental of a movie","rental rate","Non Primary Key","","Null","Amount charged for the rental of a movie","rental_rate","INTEGER"
"1075838981::187","movie url",Column,"The location on the internet where the movie clip is stored","movie url","Non Primary Key","","Null","The location on the internet where the movie clip is stored","movie_url","VARCHAR(20)"
"1075838981::188","movie clip",Column,"Stored Movie clip","movie clip","Non Primary Key","","Null","Stored Movie clip","movie_clip","LARGE BINARY"
"1075838981::189","store number",Column,"A unique identifier of the video store","store number","Primary Key","","Not Null","A unique identifier of the video store","store_number","INTEGER"
"1075838981::202","soc sec number",Column,"Social Security Number","soc sec number","Primary Key","","Not Null","Social Security Number","soc_sec_number","INTEGER"
"1075838981::210","movie copy number",Column,"A unique number  identifying the movie copy","movie copy number","Primary Key","","Not Null","A unique number  identifying the movie copy","movie_copy_number","INTEGER"
"1075838981::215","MovieID",Column,"A unique number that identifies a movie","MovieID","Primary Key","","Not Null","A unique number that identifies a movie","MovieID","INTEGER"
"1075838981::218","MovieID",Column,"A unique number that identifies a movie","MovieID","Primary Key","","Not Null","A unique number that identifies a movie","MovieID","INTEGER"
"1075838981::244","CustomerId",Column,"A unique number associated with Customer","CustomerId","Primary Key","","Not Null","A unique number associated with Customer","CustomerId","INTEGER"
"1075838981::246","customer address",Column,"Street address of the customer","customer address","Non Primary Key","","Null","Street address of the customer","customer_address","VARCHAR(20)"
"1075838981::247","customer city",Column,"City associated with Customer’s address","customer city","Non Primary Key","","Null","City associated with Customer’s address","customer_city","VARCHAR(20)"
"1075838981::248","customer firstname",Column,"First name of a Customer","customer firstname","Non Primary Key","","Null","First name of a Customer","customer_firstname","VARCHAR(20)"
"1075838981::249","customer lastname",Column,"Last name of a Customer","customer lastname","Non Primary Key","","Null","Last name of a Customer","customer_lastname","VARCHAR(20)"
"1075838981::250","customer state",Column,"The two-character state abbreviation associated with customer’s address","customer state","Non Primary Key","","Null","The two-character state abbreviation associated with customer’s address","customer_state","VARCHAR(20)"
"1075838981::251","customer zipcode",Column,"zip-code associated with Customer’s address","customer zipcode","Non Primary Key","","Null","zip-code associated with Customer’s address","customer_zipcode","VARCHAR(20)"
"1075838981::252","email",Column,"The email address associated with a customer","email","Non Primary Key","","Null","The email address associated with a customer","email","VARCHAR(20)"
"1075838981::259","customer number",Column,"A unique number associated with Customer","customer number","Primary Key","","Not Null","A unique number associated with Customer","customer_number","INTEGER"
"1075838981::264","customer number",Column,"A unique number associated with Customer","customer number","Primary Key","","Not Null","A unique number associated with Customer","customer_number","INTEGER"
"1075838981::266","credit card",Column,"A credit card number associated with Customer","credit card","Non Primary Key","","Null","A credit card number associated with Customer","credit_card","INTEGER"
"1075838981::267","credit card exp",Column,"Expiration date on the customer’s credit card","credit card exp","Non Primary Key","","Null","Expiration date on the customer’s credit card","credit_card_exp","INTEGER"
"1075838981::268","status code",Column,"Payment status associated with a Customer","status code","Non Primary Key","","Null","Payment status associated with a Customer","status_code","VARCHAR(20)"
"1075838981::279","credit_card",Column,"A credit card number associated with Customer","credit_card","View","","Null","A credit card number associated with Customer","","INTEGER"
"1075838981::280","credit_card_exp",Column,"Expiration date on the customer’s credit card","credit_card_exp","View","","Null","Expiration date on the customer’s credit card","","INTEGER"
"1075838981::281","status_code",Column,"Payment status associated with a Customer","status_code","View","","Null","Payment status associated with a Customer","","VARCHAR(20)"
"1075838981::283","CustomerId",Column,"A unique number associated with Customer","CustomerId","View","","Null","A unique number associated with Customer","","INTEGER"
"1075838981::284","customer_address",Column,"Street address of the customer","customer_address","View","","Null","Street address of the customer","","VARCHAR(20)"
"1075838981::285","customer_city",Column,"City associated with Customer’s address","customer_city","View","","Null","City associated with Customer’s address","","VARCHAR(20)"
"1075838981::286","customer_firstname",Column,"First name of a Customer","customer_firstname","View","","Null","First name of a Customer","","VARCHAR(20)"
"1075838981::287","customer_lastname",Column,"Last name of a Customer","customer_lastname","View","","Null","Last name of a Customer","","VARCHAR(20)"
"1075838981::288","customer_state",Column,"The two-character state abbreviation associated with customer’s address","customer_state","View","","Null","The two-character state abbreviation associated with customer’s address","","VARCHAR(20)"
"1075838981::289","customer_zipcode",Column,"zip-code associated with Customer’s address","customer_zipcode","View","","Null","zip-code associated with Customer’s address","","VARCHAR(20)"
"1075838981::290","email",Column,"The email address associated with a customer","email","View","","Null","The email address associated with a customer","","VARCHAR(20)"
"1075838981::292","rental_record_date",Column,"The date on which the rental transaction  is recorded","rental_record_date","View","","Null","The date on which the rental transaction  is recorded","","DATE"
"1075838981::293","movie_copy_number",Column,"A unique number  identifying the movie copy","movie_copy_number","View","","Not Null","A unique number  identifying the movie copy","","INTEGER"
"1075838981::294","MovieID",Column,"A unique number that identifies a movie","MovieID","View","","Not Null","A unique number that identifies a movie","","INTEGER"
"1075838981::295","rental_date",Column,"The date on which the movie was rented","rental_date","View","","Null","The date on which the movie was rented","","DATE"
"1075838981::296","due_date",Column,"The date on which the  movie is due back to the store","due_date","View","","Null","The date on which the  movie is due back to the store","","DATE"
"1075838981::297","rental_status",Column,"Rental status of the movie copy","rental_status","View","","Null","Rental status of the movie copy","","VARCHAR(20)"
"1075838981::298","overdue_charge",Column,"The amount owed for an overdue movie rental","overdue_charge","View","","Null","The amount owed for an overdue movie rental","","INTEGER"
"1075838981::299","rental_rate",Column,"Amount charged for the rental of a movie","rental_rate","View","","Null","Amount charged for the rental of a movie","","INTEGER"
"1075838981::301","movie_title",Column,"","movie_title","View","","Null","","","VARCHAR(20)"
"1075838981::303","credit_card",Column,"A credit card number associated with Customer","credit_card","View","","Null","A credit card number associated with Customer","","INTEGER"
"1075838981::304","credit_card_exp",Column,"Expiration date on the customer’s credit card","credit_card_exp","View","","Null","Expiration date on the customer’s credit card","","INTEGER"
"1075838981::305","status_code",Column,"Payment status associated with a Customer","status_code","View","","Null","Payment status associated with a Customer","","VARCHAR(20)"
"1075838981::306","Overdue_Charge_Rate",Column,"","Overdue_Charge_Rate","View","","Null","","","CHAR(18)"
"1075838981::308","CustomerId",Column,"A unique number associated with Customer","CustomerId","View","","Null","A unique number associated with Customer","","INTEGER"
"1075838981::309","customer_address",Column,"Street address of the customer","customer_address","View","","Null","Street address of the customer","","VARCHAR(20)"
"1075838981::310","customer_city",Column,"City associated with Customer’s address","customer_city","View","","Null","City associated with Customer’s address","","VARCHAR(20)"
"1075838981::311","customer_firstname",Column,"First name of a Customer","customer_firstname","View","","Null","First name of a Customer","","VARCHAR(20)"
"1075838981::312","customer_lastname",Column,"Last name of a Customer","customer_lastname","View","","Null","Last name of a Customer","","VARCHAR(20)"
"1075838981::313","customer_state",Column,"The two-character state abbreviation associated with customer’s address","customer_state","View","","Null","The two-character state abbreviation associated with customer’s address","","VARCHAR(20)"
"1075838981::314","customer_zipcode",Column,"zip-code associated with Customer’s address","customer_zipcode","View","","Null","zip-code associated with Customer’s address","","VARCHAR(20)"
"1075838981::315","email",Column,"The email address associated with a customer","email","View","","Null","The email address associated with a customer","","VARCHAR(20)"
"1075838981::317","rental_record_date",Column,"The date on which the rental transaction  is recorded","rental_record_date","View","","Null","The date on which the rental transaction  is recorded","","DATE"
"1075838981::318","movie_copy_number",Column,"A unique number  identifying the movie copy","movie_copy_number","View","","Not Null","A unique number  identifying the movie copy","","INTEGER"
"1075838981::319","MovieID",Column,"A unique number that identifies a movie","MovieID","View","","Not Null","A unique number that identifies a movie","","INTEGER"
"1075838981::320","rental_date",Column,"The date on which the movie was rented","rental_date","View","","Null","The date on which the movie was rented","","DATE"
"1075838981::321","due_date",Column,"The date on which the  movie is due back to the store","due_date","View","","Null","The date on which the  movie is due back to the store","","DATE"
"1075838981::322","rental_status",Column,"Rental status of the movie copy","rental_status","View","","Null","Rental status of the movie copy","","VARCHAR(20)"
"1075838981::323","overdue_charge",Column,"The amount owed for an overdue movie rental","overdue_charge","View","","Null","The amount owed for an overdue movie rental","","INTEGER"
"1075838981::324","rental_rate",Column,"Amount charged for the rental of a movie","rental_rate","View","","Null","Amount charged for the rental of a movie","","INTEGER"
"1075838981::325","Overdue_Charge_Rate",Column,"","Overdue_Charge_Rate","View","","Null","","","CHAR(18)"
"1075838981::330","MovieID",Column,"A unique number that identifies a movie","MovieID","Primary Key","","Not Null","A unique number that identifies a movie","MovieID","INTEGER"
"1075838981::335","store number",Column,"A unique identifier of the video store","store number","Primary Key","","Not Null","A unique identifier of the video store","store_number","INTEGER"
"1075838981::340","payment transaction number",Column,"A unique number associated with the payment","payment transaction number","Primary Key","","Not Null","A unique number associated with the payment","payment_transaction_number","INTEGER"
"1075838981::342","payment type",Column,"check\, credit card\, e-payment.","payment type","Non Primary Key","","Null","check\, credit card\, e-payment.","payment_type","VARCHAR(20)"
"1075838981::343","payment amount",Column,"The amount paid to rent the movie","payment amount","Non Primary Key","","Null","The amount paid to rent the movie","payment_amount","INTEGER"
"1075838981::344","payment date",Column,"The date on which the movie was rented","payment date","Non Primary Key","","Null","The date on which the movie was rented","payment_date","DATE"
"1075838981::345","payment status",Column,"The status of the payment","payment status","Non Primary Key","","Null","The status of the payment","payment_status","VARCHAR(20)"
"1075838981::346","check bank number",Column,"The bank number associated with the check issued for payment","check bank number","Non Primary Key","","Null","The bank number associated with the check issued for payment","check_bank_number","INTEGER"
"1075838981::347","check number",Column,"","check number","Non Primary Key","","Null","","check_number","INTEGER"
"1075838981::348","epay vendor number",Column,"Defines the vendor associated with the customer’s electronic payment","epay vendor number","Non Primary Key","","Null","Defines the vendor associated with the customer’s electronic payment","epay_vendor_number","INTEGER"
"1075838981::349","epay account number",Column,"Defines the customer account associated with the  electronic payment","epay account number","Non Primary Key","","Null","Defines the customer account associated with the  electronic payment","epay_account_number","INTEGER"
"1075838981::350","credit card number",Column,"The number of the customer credit card","credit card number","Non Primary Key","","Null","The number of the customer credit card","credit_card_number","CHAR(18)"
"1075838981::351","credit card exp",Column,"Expiration date on the customer’s credit card","credit card exp","Non Primary Key","","Null","Expiration date on the customer’s credit card","credit_card_exp","CHAR(18)"
"1075838981::352","credit card type",Column,"","credit card type","Non Primary Key","","Null","","credit_card_type","CHAR(18)"
"1075838981::355","employee number",Column,"A unique number that identifies the employee","employee number","Non Primary Key","","Not Null","A unique number that identifies the employee","employee_number","VARCHAR(20)"
"1075838981::359","Customer No",Column,"A unique number associated with a customer","Customer No","Non Primary Key","","Null","A unique number associated with a customer","customer_no","INTEGER"
"1075838981::363","customer number",Column,"A unique number associated with a customer","customer number","Non Primary Key","","Null","A unique number associated with a customer","customer_number","INTEGER"
"1075838981::367","payment transaction number",Column,"A unique number associated with the payment","payment transaction number","Non Primary Key","","Null","A unique number associated with the payment","payment_transaction_number","INTEGER"
"1075838981::801","store number",Column,"A unique identifier of the video store","store number","Primary Key","","Not Null","A unique identifier of the video store","store_number","INTEGER"
"1075838981::845","FranchiseID",Column,"","FranchiseID","Primary Key","","Not Null","","FranchiseID","CHAR(18)"
"1075838981::853","MovieID",Column,"A unique number that identifies a movie","MovieID","Primary Key","","Not Null","A unique number that identifies a movie","MovieID","INTEGER"
"1075838981::858","FranchiseID",Column,"","FranchiseID","Primary Key","","Not Null","","FranchiseID","CHAR(18)"
"1075838981::887","MovieID",Column,"A unique number that identifies a movie","MovieID","Primary Key","","Not Null","A unique number that identifies a movie","MovieID","INTEGER"
"1075838981::891","StreamID",Column,"","StreamID","Primary Key","","Not Null","","StreamID","CHAR(18)"
"1075838981::909","employee number",Column,"A unique number that identifies the store in which the employee works","employee number","Primary Key","","Not Null","A unique number that identifies the store in which the employee works","employee_number","VARCHAR(20)"
"1075838981::914","store number",Column,"A unique identifier of the video store","store number","Primary Key","","Not Null","A unique identifier of the video store","store_number","INTEGER"
"1075838981::971","FranchiseID",Column,"","FranchiseID","Primary Key","","Not Null","","FranchiseID","CHAR(18)"
"1075838981::982","ProductId",Column,"","ProductId","Primary Key","","Not Null","","ProductId","CHAR(18)"
"1075838981::985","ProductId",Column,"","ProductId","Primary Key","","Not Null","","ProductId","CHAR(18)"
"1075838981::990","MovieID",Column,"A unique number that identifies a movie","MovieID","Primary Key","","Not Null","A unique number that identifies a movie","MovieID","INTEGER"
"1075838981::994","MovieID",Column,"A unique number that identifies a movie","MovieID","Primary Key","","Not Null","A unique number that identifies a movie","MovieID","INTEGER"
"1075838981::1001","ProductId",Column,"","ProductId","Primary Key","","Not Null","","ProductId","CHAR(18)"
"1075838981::1004","ProductId",Column,"","ProductId","Primary Key","","Not Null","","ProductId","CHAR(18)"
"1075838981::1014","MovieID",Column,"A unique number that identifies a movie","MovieID","Primary Key","","Not Null","A unique number that identifies a movie","MovieID","INTEGER"
"1075838981::1016","ProductId",Column,"","ProductId","Primary Key","","Not Null","","ProductId","CHAR(18)"
"1075838981::1022","FranchiseID",Column,"","FranchiseID","Primary Key","","Not Null","","FranchiseID","CHAR(18)"
"1075838981::1036","OrderId",Column,"","OrderId","Primary Key","","Not Null","","OrderId","CHAR(18)"
"1075838981::1043","CustomerId",Column,"A unique number associated with Customer","CustomerId","Primary Key","","Not Null","A unique number associated with Customer","CustomerId","INTEGER"
"1075838981::1049","OrderId",Column,"","OrderId","Primary Key","","Not Null","","OrderId","CHAR(18)"
"1075838981::1051","CustomerId",Column,"A unique number associated with Customer","CustomerId","Primary Key","","Not Null","A unique number associated with Customer","CustomerId","INTEGER"
"1075838981::1058","employee number",Column,"A unique number that identifies the store in which the employee works","employee number","Primary Key","","Not Null","A unique number that identifies the store in which the employee works","employee_number","VARCHAR(20)"
"1075838981::1061","employee number",Column,"A unique number that identifies the store in which the employee works","employee number","Primary Key","","Not Null","A unique number that identifies the store in which the employee works","employee_number","VARCHAR(20)"
"1075838981::1070","CustomerId",Column,"A unique number associated with Customer","CustomerId","Non Primary Key","","Null","A unique number associated with Customer","CustomerId","INTEGER"
"1075838981::1102","LicenseId",Column,"","LicenseId","Primary Key","","Not Null","","LicenseId","CHAR(18)"
"1075838981::1106","CustomerId",Column,"A unique number associated with Customer","CustomerId","Primary Key","","Not Null","A unique number associated with Customer","CustomerId","INTEGER"
"1075838981::1110","ActivationDate",Column,"","ActivationDate","Non Primary Key","","Not Null","","ActivationDate","TIMESTAMP"
"1075838981::1111","ExpirationDate",Column,"","ExpirationDate","Non Primary Key","","Null","","ExpirationDate","TIME"
